Qty,Ref(s),Value,Footprint,Description,Note,Digikey,Arrow,LCSC,Other,
1,C5,10nF,0603,Ceramic 50V,,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B103KB8NCNC/1276-1921-1-ND/3890007,https://www.arrow.com/en/products/cc0603krx7r9bb103/yageo,https://lcsc.com/product-detail/Others_Samsung-Electro-Mechanics_CL10B103KB8NFNC_Samsung-Electro-Mechanics-CL10B103KB8NFNC_C307477.html, ,
3,"C1, C2, C4",100nF,0603,Ceramic 50V,,https://www.digikey.com/product-detail/en/CL10F104ZO8NNNC/1276-1258-1-ND/3889344/,https://www.arrow.com/en/products/cl10f104zo8nnnc/samsung-electro-mechanics,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100nF-104-10-50V_C14663.html, ,
1,C3,10uF,A,Tantalum 16V,,https://www.digikey.com/product-detail/en/kemet/T491A106M020AT/399-5152-1-ND/1739488, ,https://lcsc.com/product-detail/Tantalum-Capacitors_KEMET_T491A106K016AT_10uF-106-10-16V_C110055.html, ,
1,R1,680K,0603,1%,,https://www.digikey.com/product-detail/en/vishay-beyschlag/MCT06030C6803FP500/749-1673-1-ND/7347981,https://www.arrow.com/en/products/mct06030c6803fp500/vishay, , ,
1,FB1,220R,0603,Ferrite Bead,,https://www.digikey.com/product-detail/en/tdk-corporation/MPZ1608S221ATA00/445-1565-1-ND/571895,https://www.arrow.com/en/products/mpz1608s221ata00/tdk,https://lcsc.com/product-detail/Ferrite-Beads-And-Chips_TDK_MPZ1608S221ATA00_220R-25-at100MHz_C76815.html, ,
1,U1,LM1881,SOIC-8,,,https://www.digikey.com/product-detail/en/texas-instruments/LM1881MX-NOPB/296-47437-1-ND/2139048,https://www.arrow.com/en/products/lm1881mxnopb/texas-instruments, ,, 
1,J1,SCART,Straight,,,,,,https://www.mouser.com/ProductDetail/Kycon/K-SCARTX-024?qs=sGAEpiMZZMvlX3nhDDO4APhJWXzFSXxZVme0A%2FOMa90%3D, 
1,J2,,,Switch,,https://www.digikey.com/product-detail/en/c-k/JS202011AQN/401-2000-ND/1640096,,,,
1,J3,microUSB,Right Angle,Molex Style,,https://www.digikey.com/product-detail/en/molex/1050170001/WM1399CT-ND/2350885,https://www.arrow.com/en/products/1050170001/molex,https://lcsc.com/product-detail/USB-Connectors_Jing-Extension-of-the-Electronic-Co-LCSC-MICRO-USB-5S-B-Type-horns-High-temperature_C10418.html, ,
1,J4,VGA,Right Angle,Male,,https://www.digikey.com/product-detail/en/assmann-wsw-components/AHDS15A-KG-TAXB/AE11036-ND/1241909,, , ,
1,J5,3.5mm,Right Angle,Headphone,,https://www.digikey.com/product-detail/en/cui-inc/SJ1-3533N/CP1-3533N-ND/ ,, ,,
